,id,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,picture_url,host_id,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms_text,amenities,price,has_availability,calendar_last_scraped,first_review,last_review,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
11625,48484648,https://www.airbnb.com/rooms/48484648,2023-03-29,city scrape,Private double room near Reforma Avenue,"We are a group of hotels with the aim of turning your trip into a unique experience, making sure that you meet your objectives, people with local experience that connect you with the environment, focusing on the purpose of your trip. We are a comfortable, safe and friendly starting point.<br />We have thousands of experience reserves, you will connect with the whole environment and you will fall in love with CDMX, Cuautitlan, San Miguel de Allende and Tulum<br /><br /><b>The space</b><br />Our rooms have:<br />-Queen beds<br />-Totally private bathroom inside the rooms<br />-Assisted Continental breakfast totally free<br />-Free amenities included (Shampoo, soap, towels, conditioner,)<br />-Free WIFI<br />-Hot water<br />-Private rooms<br />-Electronic lock<br />Reserve your Hotel Now in Mexico City, Reserve now and start saving today! Find Cheap Hotels with Airbnb, Instant Confirmation, At the Best Price, Book a Hotel in Mexico City, Find apart hotels and Hotels for your next trip, Ho","Our accommodation you can enjoy the famous and unique Plaza Garibaldi, a few minutes from the capital Zócalo of CDMX, near the Angel of Independence and be able to learn even more about the new and old Mexican culture, dare to know the CDMX to a better experience we recommend traveling by car, let us accompany you on this great trip",https://a0.muscache.com/pictures/miso/Hosting-48484648/original/7b4c07fe-6850-4aca-8a7a-253c3a642b27.jpeg,https://a0.muscache.com/pictures/miso/Hosting-48484648/original/7b4c07fe-6850-4aca-8a7a-253c3a642b27.jpeg,344375655,344375655,https://www.airbnb.com/users/show/344375655,David,2020-04-21,"Naucalpan de Juárez, Mexico",DESCONOCIDO,within an hour,96%,99%,f,https://a0.muscache.com/im/pictures/user/ffb6d31a-b513-4617-81b9-ed01380125b5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ffb6d31a-b513-4617-81b9-ed01380125b5.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.44211,-99.14097,Room in hotel,Private room,1 private bath,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Conditioner"", ""Long term stays allowed"", ""TV with standard cable"", ""Security cameras on property"", ""Essentials"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Breakfast"", ""Iron"", ""Safe"", ""Hot water"", ""Shampoo"", ""Lock on bedroom door"", ""Free parking on premises"", ""Hair dryer"", ""Elevator"", ""Cleaning available during stay"", ""Shared backyard"", ""Hangers"", ""Clothing storage"", ""Room-darkening shades"", ""Fire extinguisher"", ""First aid kit"", ""Gym"", ""Bed linens"", ""Wifi"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Body soap"", ""Window guards""]",$792.00,t,2023-03-29,2021-03-14,2022-12-23,4,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,28,57,87,275,436,45,0,4.55,4.7,4.7,4.66,4.63,4.27,4.65,7,0,7,0,17.53
11637,48368510,https://www.airbnb.com/rooms/48368510,2023-03-29,city scrape,Private room with Jacuzzi and small terrace,"Comfortable and economical room with private bathroom, you can find a King size bed inside the room to be comfortable, ideal for two people, thanks to our great location you will be close to everything you need and a few minutes by car from places of common interest and large avenues that will facilitate mobility throughout the city in case you come by car, in addition to that, we have free parking for greater comfort during your entire stay.<br /><br /><b>The space</b><br />Inside the private room you will find:<br />-1 King size bed for the greatest comfort<br />-Completely private bathroom<br />-Amenities included throughout your stay<br />-Daily cleaning in case your stay is long<br />-Electronic lock<br />-Reception available 24 hours a day (Check in and Check out hours established in the house rules)<br />-Restaurant<br />-Parking lot<br />-Elevator<br />-Wifi<br />-TV<br />During your trip, we recommend you stop at several attractions near the hotel, such as the Parque Delta sho","A very comfortable area of ​​CDMX to be able to transport you in different ways wherever you go and for whatever reason you are visiting, the location will surely help you a lot to move around CDMX",https://a0.muscache.com/pictures/3bbf2aee-6fc1-48c0-95bc-93ebdc76f3b5.jpg,https://a0.muscache.com/pictures/3bbf2aee-6fc1-48c0-95bc-93ebdc76f3b5.jpg,387957519,387957519,https://www.airbnb.com/users/show/387957519,Alejandro,2021-02-09,DESCONOCIDO,"Soy un anfitrión alegre y amable, siempre tengo todo perfecto para que mis huéspedes estén felices ",within an hour,97%,100%,f,https://a0.muscache.com/im/pictures/user/fa19d6c8-90ec-48ee-ab73-c28c5d9d90b0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fa19d6c8-90ec-48ee-ab73-c28c5d9d90b0.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.41059,-99.13893,Room in hotel,Private room,1 private bath,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Security cameras on property"", ""Dedicated workspace"", ""Essentials"", ""Extra pillows and blankets"", ""Hot water"", ""Shampoo"", ""Lock on bedroom door"", ""Private hot tub"", ""TV"", ""Free parking on premises"", ""Hair dryer"", ""Elevator"", ""Cleaning available during stay"", ""Shower gel"", ""Hangers"", ""Clothing storage"", ""Room-darkening shades"", ""Fire extinguisher"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Bed linens"", ""Wifi"", ""Body soap"", ""Window guards""]",$800.00,t,2023-03-29,2021-03-10,2023-03-11,4,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,18,45,75,346,135,63,3,4.63,4.76,4.7,4.67,4.47,4.64,4.74,9,0,9,0,5.4
11639,48369487,https://www.airbnb.com/rooms/48369487,2023-03-29,city scrape,Economy double private room with Jacuzzi,"Comfortable and economical room with private bathroom, you can find a King size bed inside the room to be comfortable, ideal for two people, thanks to our great location you will be close to everything you need and a few minutes by car from places of common interest and large avenues that will facilitate mobility throughout the city in case you come by car, in addition to that, we have free parking for greater comfort throughout your stay.<br /><br /><b>The space</b><br />Inside the private room you will find:<br />-1 King size bed for the greatest comfort<br />-Completely private bathroom<br />-Amenities included throughout your stay<br />-Daily cleaning in case your stay is long<br />-Electronic lock<br />-Reception available 24 hours a day (Check in and Check out hours established in the house rules)<br />-Restaurant<br />-Parking lot<br />-Elevator<br />-Wifi<br />-TV<br />During your trip, we recommend you stop at several attractions near the hotel, such as the Parque Delta shoppi","A very comfortable area of ​​CDMX to be able to transport you in different ways wherever you go and for whatever reason you are visiting, the location will surely help you a lot to move around CDMX",https://a0.muscache.com/pictures/miso/Hosting-48369487/original/ddafa99b-2e27-4ece-af37-14b909a29dd1.jpeg,https://a0.muscache.com/pictures/miso/Hosting-48369487/original/ddafa99b-2e27-4ece-af37-14b909a29dd1.jpeg,387957519,387957519,https://www.airbnb.com/users/show/387957519,Alejandro,2021-02-09,DESCONOCIDO,"Soy un anfitrión alegre y amable, siempre tengo todo perfecto para que mis huéspedes estén felices ",within an hour,97%,100%,f,https://a0.muscache.com/im/pictures/user/fa19d6c8-90ec-48ee-ab73-c28c5d9d90b0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fa19d6c8-90ec-48ee-ab73-c28c5d9d90b0.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.40862,-99.13818,Room in hotel,Private room,1 private bath,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Conditioner"", ""Long term stays allowed"", ""Security cameras on property"", ""Dedicated workspace"", ""Essentials"", ""Extra pillows and blankets"", ""Hot water"", ""Shampoo"", ""Lock on bedroom door"", ""TV"", ""Free parking on premises"", ""Hair dryer"", ""Elevator"", ""Cleaning available during stay"", ""Shower gel"", ""Hangers"", ""Clothing storage"", ""Room-darkening shades"", ""Fire extinguisher"", ""Private hot tub - available all year"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Private living room"", ""Bed linens"", ""Wifi"", ""Body soap"", ""Window guards""]","$1,000.00",t,2023-03-29,2021-04-25,2023-01-22,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,15,31,61,329,13,2,0,4.69,5.0,4.38,5.0,4.77,4.69,4.77,9,0,9,0,0.55
11647,48501441,https://www.airbnb.com/rooms/48501441,2023-03-29,city scrape,Habitación cerca de Claustro de Sor Juana y bares,"Habitación confortable cuenta con los servicios necesarios para que su estancia sea placentera.  Wifi, tv con canales de cable, agua caliente en cualquier momento. A una calle del metro Isabel la Católica,  disfruta de un paseo en la calle de Regina encontrarás una gran variedad de restaurantes y bares y a tan solo 6  calles podrás estar en el Zócalo capitalino.",DESCONOCIDO,https://a0.muscache.com/pictures/6cefce23-0398-47a3-8e95-4b1559628a93.jpg,https://a0.muscache.com/pictures/6cefce23-0398-47a3-8e95-4b1559628a93.jpg,375625694,375625694,https://www.airbnb.com/users/show/375625694,Hotel Menara,2020-11-14,"Mexico City, Mexico",DESCONOCIDO,within an hour,80%,91%,f,https://a0.muscache.com/im/pictures/user/4defd6a4-94fa-445d-af16-a1a049b3ce16.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4defd6a4-94fa-445d-af16-a1a049b3ce16.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,DESCONOCIDO,Cuauhtémoc,19.4255,-99.13803,Room in hotel,Private room,1 private bath,"[""Dedicated workspace"", ""Wifi"", ""Fire extinguisher"", ""Security cameras on property"", ""First aid kit"", ""TV"", ""Free parking on premises"", ""Hair dryer"", ""Essentials""]",$650.00,t,2023-03-29,2021-03-18,2022-11-05,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,24,48,76,328,25,5,0,4.92,4.76,4.8,4.76,4.76,4.72,4.64,8,0,8,0,1.01
11705,48298307,https://www.airbnb.com/rooms/48298307,2023-03-29,city scrape,Si a las mascotas cerca metro Pino Suárez y Zócalo,"Puedes venir en compañía de tu mascota, espacio independiente con su propio garaje. Cuenta con todas las precauciones y cuidados de limpieza ante COVID-19. A tan solo unos pasos del metro Pino Suárez y del Zócalo Capitalino. Cuenta con baño privado",DESCONOCIDO,https://a0.muscache.com/pictures/miso/Hosting-46156269/original/cc3d7fde-9028-4d1c-aa4e-5694f58c2a51.jpeg,https://a0.muscache.com/pictures/miso/Hosting-46156269/original/cc3d7fde-9028-4d1c-aa4e-5694f58c2a51.jpeg,327817209,327817209,https://www.airbnb.com/users/show/327817209,Hotel San Lucas,2020-01-15,"Mexico City, Mexico",DESCONOCIDO,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/e48d7add-9af1-4639-9ede-7f722d6d10f0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e48d7add-9af1-4639-9ede-7f722d6d10f0.jpg?aki_policy=profile_x_medium,La Merced,"['email', 'phone']",t,t,DESCONOCIDO,Cuauhtémoc,19.42436,-99.13171,Room in hotel,Private room,1.5 shared baths,"[""Dedicated workspace"", ""Wifi"", ""Iron"", ""Pets allowed"", ""Self check-in"", ""Hangers"", ""Shampoo"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Security cameras on property"", ""First aid kit"", ""Building staff"", ""TV"", ""Free parking on premises"", ""Hair dryer"", ""Essentials""]",$850.00,t,2023-03-29,2021-05-02,2021-05-02,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,27,51,79,330,0,0,0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,10,0,10,0,1.7
11706,48298700,https://www.airbnb.com/rooms/48298700,2023-03-29,city scrape,Habitación 1 cama  cerca metro Pino Suárez,"Habitación agradable, wifi gratis, agua caliente durante todo el día, baño privado. A unos pasos del metro Pino Suárez y a 6 calles del Zócalo Capitalino. Todas las áreas son trabajadas con los cuidados de limpieza ante COVID-19.",DESCONOCIDO,https://a0.muscache.com/pictures/miso/Hosting-48298700/original/5c8a5a33-b657-44ab-a0fc-446b42ba4d3b.jpeg,https://a0.muscache.com/pictures/miso/Hosting-48298700/original/5c8a5a33-b657-44ab-a0fc-446b42ba4d3b.jpeg,327817209,327817209,https://www.airbnb.com/users/show/327817209,Hotel San Lucas,2020-01-15,"Mexico City, Mexico",DESCONOCIDO,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/e48d7add-9af1-4639-9ede-7f722d6d10f0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e48d7add-9af1-4639-9ede-7f722d6d10f0.jpg?aki_policy=profile_x_medium,La Merced,"['email', 'phone']",t,t,DESCONOCIDO,Cuauhtémoc,19.42434,-99.13171,Room in hotel,Private room,1.5 baths,"[""Dedicated workspace"", ""Wifi"", ""Iron"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Security cameras on property"", ""First aid kit"", ""TV"", ""Free parking on premises"", ""Hair dryer"", ""Essentials""]",$700.00,t,2023-03-29,2021-02-27,2023-01-08,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,27,51,79,330,24,15,0,4.5,4.79,4.71,4.63,4.5,4.58,4.29,10,0,10,0,0.95
11713,48299378,https://www.airbnb.com/rooms/48299378,2023-03-29,city scrape,Habitación cerca de Zócalo Catedral y Bellas Artes,"Habitación cerca de metro Isabel la Católica entre dos avenidas importantes, Fray Servando e Izazaga, con fácil acceso para cualquier punto de la ciudad. Puedes llegar caminando al Zócalo Capitalino. Cuenta con todos los suministros necesarios para hacer de su estancia placentera, internet, agua caliente en cualquier momento, estacionamiento gratuito.",DESCONOCIDO,https://a0.muscache.com/pictures/6cefce23-0398-47a3-8e95-4b1559628a93.jpg,https://a0.muscache.com/pictures/6cefce23-0398-47a3-8e95-4b1559628a93.jpg,375625694,375625694,https://www.airbnb.com/users/show/375625694,Hotel Menara,2020-11-14,"Mexico City, Mexico",DESCONOCIDO,within an hour,80%,91%,f,https://a0.muscache.com/im/pictures/user/4defd6a4-94fa-445d-af16-a1a049b3ce16.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4defd6a4-94fa-445d-af16-a1a049b3ce16.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,DESCONOCIDO,Cuauhtémoc,19.4255,-99.13803,Room in hotel,Private room,1 private bath,"[""Dedicated workspace"", ""Hair dryer"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""First aid kit"", ""TV"", ""Free parking on premises"", ""Security cameras on property"", ""Essentials""]",$650.00,t,2023-03-29,2021-03-12,2022-11-03,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,24,48,76,328,3,2,0,4.67,4.67,5.0,5.0,4.33,4.67,4.67,8,0,8,0,0.12
11723,48446499,https://www.airbnb.com/rooms/48446499,2023-03-29,city scrape,Room with private Jacuzzi. in North Central,"Our goal is to make your stay in the city as relaxing and pleasant as possible. It's better that you make a stopover at various attractions near the hotel, such as the Basilica of Guadalupe (10 min. by car), Monument to the Revolution (18 min. by car), Ángel de la Independencia (20 min. by car), Chapultepec Forest (25 min. by car), among others.<br /><br /><b>The space</b><br />After having ventured to know the CDMX, come to rest, but hey! If you come hungry or want to cool off a bit, enjoy one or another dish/drink at the hotel restaurant, but if you prefer, buy one at our vending machine.<br />Hotel Escala Central del Norte puts at your disposal the best of its service, making your stay totally pleasant, so much so that you want to book with us again.<br />Services<br />*Work space<br />*Parking lot<br />*Vending<br />*Wifi<br />*Restaurant Bar<br />*Elevator<br /><br /><b>Guest access</b><br />The guest has access to all the common areas of the accommodation and to all the services ","A very comfortable area of ​​CDMX to be able to transport you in different ways wherever you go and for whatever reason you are visiting, the location will surely help you a lot to move around CDMX",https://a0.muscache.com/pictures/miso/Hosting-48446499/original/0788a5bd-1a37-455a-ad61-6314e8198069.jpeg,https://a0.muscache.com/pictures/miso/Hosting-48446499/original/0788a5bd-1a37-455a-ad61-6314e8198069.jpeg,388164322,388164322,https://www.airbnb.com/users/show/388164322,Alejandro,2021-02-11,DESCONOCIDO,"Habitación privada a dos cuadras del la central de autobuses del norte, una ubicación demasiado practica.",within an hour,95%,100%,f,https://a0.muscache.com/im/pictures/user/10c67d96-7c5a-46d0-973d-ec40c94c8add.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/10c67d96-7c5a-46d0-973d-ec40c94c8add.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Gustavo A. Madero,19.47557337643832,-99.13896188209438,Room in hotel,Private room,1 private bath,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Conditioner"", ""Long term stays allowed"", ""Security cameras on property"", ""Dedicated workspace"", ""Essentials"", ""Extra pillows and blankets"", ""Hot water"", ""Shampoo"", ""Lock on bedroom door"", ""Private hot tub"", ""TV"", ""Free parking on premises"", ""Hair dryer"", ""Elevator"", ""Cleaning available during stay"", ""Shower gel"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Clothing storage: closet"", ""Body soap"", ""Window guards""]",$971.00,t,2023-03-29,2021-03-07,2023-03-26,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,24,54,84,351,70,36,1,4.57,4.6,4.69,4.79,4.6,4.54,4.5,10,0,10,0,2.79
11737,48589958,https://www.airbnb.com/rooms/48589958,2023-03-29,city scrape,Habitación cerca de nueva Plaza Mayoreo Izazaga,"Habitación confortable a unos pasos del metro Isabel la Católica,  con vías alternas para llegar al Centro Histórico ya sea caminando o en carro ya que estamos a tan solo 10 minutos a pie. Cerca de nosotros encontrarás bares y restaurantes en la emblemática calle peatonal de Regina y San Jerónimo. La habitación cuenta con agua caliente en cualquier momento, wifi, suministros de higiene personal, además de estacionamiento gratis.",DESCONOCIDO,https://a0.muscache.com/pictures/6cefce23-0398-47a3-8e95-4b1559628a93.jpg,https://a0.muscache.com/pictures/6cefce23-0398-47a3-8e95-4b1559628a93.jpg,375625694,375625694,https://www.airbnb.com/users/show/375625694,Hotel Menara,2020-11-14,"Mexico City, Mexico",DESCONOCIDO,within an hour,80%,91%,f,https://a0.muscache.com/im/pictures/user/4defd6a4-94fa-445d-af16-a1a049b3ce16.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4defd6a4-94fa-445d-af16-a1a049b3ce16.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,DESCONOCIDO,Cuauhtémoc,19.42471,-99.13874,Room in hotel,Private room,1 private bath,"[""Dedicated workspace"", ""Wifi"", ""Free street parking"", ""Fire extinguisher"", ""Security cameras on property"", ""First aid kit"", ""TV"", ""Free parking on premises"", ""Hair dryer"", ""Essentials""]",$650.00,t,2023-03-29,2021-03-14,2021-06-08,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,24,48,76,328,3,0,0,4.33,5.0,4.33,5.0,4.0,4.67,4.33,8,0,8,0,0.12
11739,48465948,https://www.airbnb.com/rooms/48465948,2023-03-29,city scrape,Comfortable private room in the Zócalo of CDMX,"Somos un grupo de hoteles con la finalidad de convertir tu viaje en una experiencia única, asegurándonos de que cumplas tus objetivos, gente con experiencia local que te conecta con el entorno enfocándonos en el propósito de tu viaje. Somos un punto de partida cómodo, seguro y amable.<br />Contamos con miles de reservas de experiencia, conectarás con todo el entorno y te enamorarás de la CDMX, Cuautitlan , San miguel de Allende y Tulum cuidando tu bolsillo pero sin perder la comodidad, conócenos.<br /><br /><b>The space</b><br />Our rooms have:<br />-Queen beds<br />-Totally private bathroom inside the rooms<br />-Assisted Continental breakfast totally free<br />-Free amenities included (Shampoo, soap, towels, conditioner,)<br />-Free WIFI<br />-Hot water<br />-Private rooms<br />-Electronic lock<br />Reserve your Hotel Now in Mexico City, Reserve now and start saving today! Find Cheap Hotels with Airbnb, Instant Confirmation, At the Best Price, Book a Hotel in Mexico City, Find apart ","An area full of colors, culture, gastronomy, love, commerce, art but best of all with the best location and at the best price, go ahead and visit us you will see that it will be the best decision in addition to taking care of your pocket without compromising your comfort and about all your time",https://a0.muscache.com/pictures/fa94b553-34af-4d50-a29a-fec2d3f641d0.jpg,https://a0.muscache.com/pictures/fa94b553-34af-4d50-a29a-fec2d3f641d0.jpg,350386350,350386350,https://www.airbnb.com/users/show/350386350,Isaac,2020-06-16,"Ejido del Centro, Mexico",DESCONOCIDO,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/da85c9fe-8d8d-470b-9a4f-fa1e79386dde.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/da85c9fe-8d8d-470b-9a4f-fa1e79386dde.jpg?aki_policy=profile_x_medium,Centro Histórico de la Ciudad de México,['phone'],t,t,"Centro, Ciudad de México, Mexico",Cuauhtémoc,19.42933,-99.1332,Room in hotel,Private room,1 private bath,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""35\"" TV with standard cable"", ""Long term stays allowed"", ""Security cameras on property"", ""Essentials"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Breakfast"", ""Iron"", ""Safe"", ""Hot water"", ""Lock on bedroom door"", ""Air conditioning"", ""Hair dryer"", ""Shower gel"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""First aid kit"", ""Gym"", ""Wifi"", ""Clothing storage: closet"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Body soap"", ""Shampoo""]","$2,046.00",t,2023-03-29,2021-03-14,2023-03-17,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,54,81,253,908,194,2,4.78,4.82,4.88,4.81,4.74,4.92,4.83,9,0,9,0,36.51
11816,48805111,https://www.airbnb.com/rooms/48805111,2023-03-29,city scrape,Habitación  por metro Atlalilco y Hospital Shiners,"Cerca de centros comerciales, así como, Autódromo Hermanos Rodríguez, Velódromo, Ciudad Deportiva, Palacio de los Deportes, además del Hospital Shinners México, Hospital Pediátrico de Iztapalapa.<br />La habitación es amplia y confortable, cuenta con los servicios necesarios para hacer de su estancia placentera. La plancha y tabla de planchar se solicitan directamente en recepción sin costo extra, además diariamente se coloca una botella con agua en cortesía",DESCONOCIDO,https://a0.muscache.com/pictures/2ac938b2-bff9-4037-a0b0-65790fa55ea1.jpg,https://a0.muscache.com/pictures/2ac938b2-bff9-4037-a0b0-65790fa55ea1.jpg,376738511,376738511,https://www.airbnb.com/users/show/376738511,Hotel Atenas Plaza,2020-11-23,"Mexico City, Mexico",DESCONOCIDO,a few days or more,33%,33%,f,https://a0.muscache.com/im/pictures/user/59d4f519-7aa4-4ee4-a380-0426040f8454.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/59d4f519-7aa4-4ee4-a380-0426040f8454.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,DESCONOCIDO,Iztapalapa,19.35586,-99.10256,Room in hotel,Private room,1 private bath,"[""Dedicated workspace"", ""Wifi"", ""Patio or balcony"", ""Self check-in"", ""Fire extinguisher"", ""Shampoo"", ""First aid kit"", ""Building staff"", ""TV"", ""Free parking on premises"", ""Security cameras on property"", ""Essentials""]",$650.00,t,2023-03-29,2022-03-20,2022-03-20,2,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,21,48,78,341,1,0,0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4,0,4,0,0.08
11820,48808933,https://www.airbnb.com/rooms/48808933,2023-03-29,city scrape,Private double room near Garibaldi square,"We are a group of hotels with the aim of turning your trip into a unique experience, making sure that you meet your objectives, people with local experience that connect you with the environment, focusing on the purpose of your trip. We are a comfortable, safe and friendly starting point.<br />We have thousands of experience reserves, you will connect with the whole environment and you will fall in love with CDMX, Cuautitlan, San Miguel de Allende and Tulum<br /><br /><b>The space</b><br />Our rooms have:<br />-Queen beds<br />-Totally private bathroom inside the rooms<br />-Assisted Continental breakfast totally free<br />-Free amenities included (Shampoo, soap, towels, conditioner,)<br />-Free WIFI<br />-Hot water<br />-Private rooms<br />-Electronic lock<br />Reserve your Hotel Now in Mexico City, Reserve now and start saving today! Find Cheap Hotels with Airbnb, Instant Confirmation, At the Best Price, Book a Hotel in Mexico City, Find apart hotels and Hotels for your next trip, Ho","Our accommodation you can enjoy the famous and unique Plaza Garibaldi, a few minutes from the capital Zócalo of CDMX, near the Angel of Independence and be able to learn even more about the new and old Mexican culture, dare to know the CDMX to a better experience we recommend traveling by car, let us accompany you on this great trip",https://a0.muscache.com/pictures/miso/Hosting-48808933/original/af6b5e49-f387-4b19-a579-7ff158c71949.png,https://a0.muscache.com/pictures/miso/Hosting-48808933/original/af6b5e49-f387-4b19-a579-7ff158c71949.png,344375655,344375655,https://www.airbnb.com/users/show/344375655,David,2020-04-21,"Naucalpan de Juárez, Mexico",DESCONOCIDO,within an hour,96%,99%,f,https://a0.muscache.com/im/pictures/user/ffb6d31a-b513-4617-81b9-ed01380125b5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ffb6d31a-b513-4617-81b9-ed01380125b5.jpg?aki_policy=profile_x_medium,DESCONOCIDO,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.44293,-99.14122,Room in hotel,Private room,1 private bath,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Conditioner"", ""Long term stays allowed"", ""Security cameras on property"", ""Essentials"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Breakfast"", ""Iron"", ""Safe"", ""Hot water"", ""Shampoo"", ""Lock on bedroom door"", ""Hair dryer"", ""Elevator"", ""58\"" HDTV with standard cable"", ""Cleaning available during stay"", ""Shared backyard"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""First aid kit"", ""Shared gym in building"", ""Building staff"", ""Self check-in"", ""Free carport on premises"", ""Bed linens"", ""Private patio or balcony"", ""Wifi"", ""Clothing storage: closet"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Body soap"", ""Window guards""]",$897.00,t,2023-03-29,2021-03-30,2022-12-11,4,1,365,1.0,1.0,1125.0,1125.0,1.0,1125.0,29,54,79,232,75,39,0,4.44,4.59,4.61,4.33,4.45,3.91,4.57,7,0,7,0,3.08
